nom_dataset,echelle_geographique,date_ajout,budget_dp_rho
Penguin,France entière,10/07/2025,0.1
Penguin,France entière,10/07/2025,0.1
Penguin,France entière,10/07/2025,0.1
Penguin,France entière,10/07/2025,0.1
Penguin,France entière,10/07/2025,0.03
Penguin,France entière,10/07/2025,0.1
Penguin,France entière,10/07/2025,0.1
Penguin,France entière,10/07/2025,0.1
Penguin,France entière,10/07/2025,0.1
Penguin,France entière,10/07/2025,0.1
Penguin,France entière,10/07/2025,0.1
Penguin,France entière,10/07/2025,0.1
Penguin,France entière,10/07/2025,0.1
Penguin,France entière,10/07/2025,0.1
Penguin,France entière,10/07/2025,0.1
Penguin,France entière,10/07/2025,0.1
Penguin,France entière,10/07/2025,0.1
Penguin,France entière,10/07/2025,0.1
Penguin,France entière,11/07/2025,0.1
Penguin,France entière,11/07/2025,0.1
Penguin,France entière,11/07/2025,0.1
Penguin,France entière,12/07/2025,0.1
Penguin,France entière,12/07/2025,0.1
Penguin,France entière,12/07/2025,0.1
Penguin,France entière,12/07/2025,0.1
Penguin,France entière,12/07/2025,0.1
Penguin,France entière,14/07/2025,0.1
Penguin,France entière,15/07/2025,0.1
Penguin,France entière,15/07/2025,0.1
Penguin,France entière,15/07/2025,0.1
Penguin,France entière,15/07/2025,0.1
Penguin,France entière,15/07/2025,0.1
Penguin,France entière,15/07/2025,0.1
Penguin,France entière,15/07/2025,0.1
Penguin,France entière,15/07/2025,0.1
Penguin,France entière,15/07/2025,0.1
Penguin,France entière,15/07/2025,0.02
Penguin,France entière,15/07/2025,0.1
Penguin,France entière,16/07/2025,0.1
Penguin,France entière,17/07/2025,0.1
Penguin,France entière,17/07/2025,0.1
Penguin,France entière,17/07/2025,0.1
Penguin,France entière,18/07/2025,0.1
Penguin,France entière,18/07/2025,0.1
Penguin,France entière,18/07/2025,0.1
Penguin,France entière,18/07/2025,0.1
Penguin,France entière,18/07/2025,0.1
Penguin,France entière,18/07/2025,0.1
Penguin,France entière,18/07/2025,0.1
Penguin,France entière,18/07/2025,0.1
Penguin,France entière,29/07/2025,0.1
Penguin,France entière,29/07/2025,0.1
Penguin,France entière,29/07/2025,0.1
Penguin,France entière,29/07/2025,0.1
Penguin,France entière,29/07/2025,0.1
Penguin,France entière,29/07/2025,0.1
Penguin,France entière,29/07/2025,0.1
Penguin,France entière,29/07/2025,0.1
Penguin,France entière,29/07/2025,0.1
Penguin,France entière,29/07/2025,0.1
Penguin,France entière,29/07/2025,0.1
Penguin,France entière,29/07/2025,0.1
Penguin,France entière,29/07/2025,0.1
Penguin,France entière,29/07/2025,0.1
Penguin,France entière,29/07/2025,0.1
Penguin,France entière,29/07/2025,0.1
Penguin,France entière,29/07/2025,0.1
Penguin,France entière,29/07/2025,0.1
Penguin,France entière,30/07/2025,0.19
Penguin,France entière,30/07/2025,0.1
Penguin,France entière,30/07/2025,0.1
Penguin,France entière,30/07/2025,0.1
Penguin,France entière,31/07/2025,0.1
Penguin,France entière,31/07/2025,0.1
Penguin,France entière,31/07/2025,0.1
Penguin,France entière,31/07/2025,0.1
Penguin,France entière,31/07/2025,0.1
Penguin,France entière,31/07/2025,0.1
Penguin,France entière,31/07/2025,0.1
Penguin,France entière,31/07/2025,0.1
Penguin,France entière,31/07/2025,0.1
Penguin,France entière,31/07/2025,0.1
Penguin,France entière,31/07/2025,0.1
Penguin,France entière,31/07/2025,0.1
Penguin,France entière,31/07/2025,0.42
Penguin,France entière,31/07/2025,0.1
Penguin,France entière,31/07/2025,0.1
Penguin,France entière,31/07/2025,0.1
Filosofi,Bourgogne-Franche-Comté,31/07/2025,0.23
Filosofi,France entière,31/07/2025,0.19
Filosofi,France entière,31/07/2025,0.1
Filosofi,France entière,31/07/2025,0.1
Filosofi,France entière,31/07/2025,0.1
Filosofi,France entière,31/07/2025,0.1
Filosofi,France entière,31/07/2025,0.1
Filosofi,France entière,31/07/2025,0.1
Filosofi,France entière,31/07/2025,0.1
Filosofi,France entière,31/07/2025,0.1
Filosofi,France entière,31/07/2025,0.1
Filosofi,France entière,31/07/2025,0.1
Filosofi,France entière,31/07/2025,0.1
Filosofi,France entière,31/07/2025,0.1
Filosofi,France entière,31/07/2025,0.1
Filosofi,France entière,31/07/2025,0.1
Filosofi,France entière,31/07/2025,0.1
Filosofi,France entière,31/07/2025,0.1
Filosofi,France entière,31/07/2025,0.1
Filosofi,France entière,31/07/2025,0.1
Filosofi,France entière,31/07/2025,0.1
Filosofi,France entière,31/07/2025,0.1
Filosofi,France entière,31/07/2025,0.1
Filosofi,France entière,31/07/2025,0.1
Penguin,France entière,01/08/2025,0.1
Penguin,France entière,01/08/2025,0.1
Penguin,France entière,01/08/2025,0.1
Penguin,France entière,01/08/2025,0.1
Penguin,France entière,01/08/2025,0.1
Penguin,France entière,01/08/2025,0.1
Penguin,France entière,01/08/2025,0.1
Penguin,France entière,01/08/2025,0.1
Penguin,France entière,01/08/2025,0.1
Penguin,France entière,01/08/2025,0.1
Penguin,France entière,01/08/2025,0.1
Penguin,France entière,01/08/2025,0.1
Penguin,France entière,01/08/2025,0.1
Penguin,France entière,01/08/2025,0.1
Penguin,France entière,04/08/2025,0.1
Penguin,France entière,04/08/2025,0.1
Penguin,France entière,04/08/2025,0.1
Penguin,France entière,04/08/2025,0.1
Penguin,France entière,04/08/2025,0.1
Penguin,France entière,04/08/2025,0.1
Penguin,France entière,04/08/2025,0.1
Penguin,France entière,04/08/2025,0.1
Penguin,France entière,04/08/2025,0.1
Penguin,France entière,04/08/2025,0.1
Penguin,France entière,04/08/2025,0.1
Penguin,France entière,04/08/2025,0.1
Penguin,France entière,04/08/2025,0.08
Penguin,France entière,04/08/2025,0.08
Penguin,France entière,04/08/2025,0.1
Penguin,France entière,04/08/2025,0.1
Penguin,France entière,04/08/2025,0.1
Penguin,France entière,05/08/2025,0.1
Penguin,France entière,05/08/2025,0.1
Penguin,France entière,05/08/2025,0.1
Penguin,France entière,05/08/2025,0.1
Penguin,France entière,05/08/2025,0.1
Penguin,France entière,05/08/2025,0.1
Penguin,France entière,05/08/2025,0.1
Penguin,France entière,05/08/2025,0.1
Penguin,France entière,05/08/2025,0.1
Penguin,France entière,05/08/2025,0.1
Penguin,France entière,05/08/2025,0.1
Penguin,France entière,05/08/2025,0.1
Penguin,France entière,05/08/2025,0.1
Penguin,France entière,05/08/2025,0.1
Penguin,France entière,05/08/2025,0.1
Penguin,France entière,05/08/2025,0.1
